cycles,runtime,ops_per_sec,run,mode,kernel,mitigations,node,core_id,perfevent,reg_ring,setup_mode,duration,nr_nops,test_file,reg_fds,test_buf,reg_bufs,perf_cycles,perf_kcycles,perf_instructions,perf_L1-misses,perf_LLC-misses,perf_branch-misses,perf_task-clock,perf_scale,perf_IPC,perf_CPUs,perf_GHz
23971381200,9.98808,2.77718e+06,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,1,False,False,False,False,1324.9537,1190.5605,1097.2047,10.6565,0.0156,22.1865,360.4797,27738651,0.8281,0.9101,3.6755
23970048432,9.98752,4.73365e+06,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,2,False,False,False,False,777.3346,714.8404,717.5299,6.9288,0.0091,13.1663,211.4918,47277444,0.9231,0.9996,3.6755
23970454056,9.98769,7.38075e+06,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,4,False,False,False,False,498.5466,459.3479,527.7487,5.8707,0.0060,8.5889,135.6399,73716624,1.0586,0.9996,3.6755
23971234080,9.98801,1.04523e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,8,False,False,False,False,352.0335,327.3250,432.7842,2.6090,0.0045,6.3314,95.7794,104397272,1.2294,0.9996,3.6755
23971010304,9.98792,1.3001e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,16,False,False,False,False,283.0233,263.1695,383.5950,2.6934,0.0034,5.1714,77.0037,129853056,1.3553,0.9996,3.6754
23969992296,9.9875,1.47814e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,32,False,False,False,False,248.9320,232.5608,359.0209,2.8780,0.0029,4.6098,67.7280,147629568,1.4422,0.9996,3.6755
23969934312,9.98747,1.46433e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,64,False,False,False,False,251.2781,237.0271,346.7900,8.2050,0.0030,4.3274,68.3675,146249600,1.3801,0.9996,3.6754
23971014336,9.98792,1.53459e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,128,False,False,False,False,239.7728,226.1670,340.6132,7.4578,0.0032,4.1846,65.2370,153274112,1.4206,0.9996,3.6754
23969778624,9.98741,1.60959e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,256,False,False,False,False,228.6074,216.0844,337.5344,10.3971,0.0034,4.1022,62.1973,160756480,1.4765,0.9996,3.6755
23969931696,9.98747,1.6333e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,512,False,False,False,False,225.2820,212.8137,336.0053,10.8884,0.0040,4.0571,61.2937,163125248,1.4915,0.9996,3.6755
23968152192,9.98673,1.64414e+07,0,baseline,6.15.0-rc7,True,fn01,8,True,True,defer,10000,1024,False,False,False,False,223.7921,211.2546,335.2208,10.7618,0.0054,4.0354,60.8900,164195328,1.4979,0.9996,3.6754
