tag,method,iodirect,ms
large_1w_256io_mode0,io_uring,data+wal,28607.296
large_1w_256io_mode0,io_uring,data+wal,28363.382
large_1w_256io_mode0,io_uring,data+wal,27990.368
large_1w_256io_mode0,io_uring,data+wal,28608.992
large_1w_256io_mode0,io_uring,data+wal,31282.477
large_1w_256io_mode0,io_uring,data+wal,28603.166
large_1w_256io_mode0,io_uring,data+wal,28531.749
large_1w_256io_mode0,io_uring,data+wal,28569.245
large_1w_256io_mode0,io_uring,data+wal,28499.490
large_1w_256io_mode1,io_uring,data+wal,29727.800
large_1w_256io_mode1,io_uring,data+wal,27904.695
large_1w_256io_mode1,io_uring,data+wal,28683.120
large_1w_256io_mode1,io_uring,data+wal,28516.799
large_1w_256io_mode1,io_uring,data+wal,28000.289
large_1w_256io_mode1,io_uring,data+wal,28565.366
large_1w_256io_mode1,io_uring,data+wal,28305.382
large_1w_256io_mode1,io_uring,data+wal,28520.080
large_1w_256io_mode1,io_uring,data+wal,28801.634
large_1w_256io_mode1,io_uring,data+wal,28611.424
large_1w_256io_mode2,io_uring,data+wal,28195.920
large_1w_256io_mode2,io_uring,data+wal,27126.520
large_1w_256io_mode2,io_uring,data+wal,26945.184
large_1w_256io_mode2,io_uring,data+wal,26811.883
large_1w_256io_mode2,io_uring,data+wal,26551.771
large_1w_256io_mode2,io_uring,data+wal,27063.999
large_1w_256io_mode2,io_uring,data+wal,26942.482
large_1w_256io_mode2,io_uring,data+wal,26887.596
large_1w_256io_mode2,io_uring,data+wal,26649.483
large_1w_256io_mode2,io_uring,data+wal,27013.507
large_1w_256io_mode3,io_uring,data+wal,26587.107
large_1w_256io_mode3,io_uring,data+wal,26588.779
large_1w_256io_mode3,io_uring,data+wal,27319.713
large_1w_256io_mode3,io_uring,data+wal,27221.874
large_1w_256io_mode3,io_uring,data+wal,26559.567
large_1w_256io_mode3,io_uring,data+wal,26735.319
large_1w_256io_mode3,io_uring,data+wal,26568.771
large_1w_256io_mode3,io_uring,data+wal,26723.074
large_1w_256io_mode3,io_uring,data+wal,27517.566
large_1w_256io_mode3,io_uring,data+wal,26595.611
large_1w_256io_mode4,io_uring,data+wal,25990.208
large_1w_256io_mode4,io_uring,data+wal,25966.217
large_1w_256io_mode4,io_uring,data+wal,25032.782
