server_bandwidth_Bps,server_bandwidth_GiB_s,client_bandwidth_Bps,client_bandwidth_GiB_s,run,backend,kernel,mtu,read_bytes,duration,num_sockets,num_workers,num_ssds,request_size,stripe_size,reg_ring,reg_fds,reg_bufs,napi,send_zc,pin_queues,server,client
447643094,0.4169,447649831,0.416906,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,4096,4096,False,False,False,False,False,False,fn01,fn03
1351549674,1.25873,1351569658,1.25875,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,16384,16384,False,False,False,False,False,False,fn01,fn03
2927537815,2.72648,2927576957,2.72652,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,65536,65536,False,False,False,False,False,False,fn01,fn03
3759243731,3.50107,3759369916,3.50119,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,131072,131072,False,False,False,False,False,False,fn01,fn03
4666116567,4.34566,4666437756,4.34596,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,524288,524288,False,False,False,False,False,False,fn01,fn03
864120339,0.804775,864132127,0.804786,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,4096,4096,False,False,False,False,False,False,fn01,fn03
2665142706,2.48211,2665199805,2.48216,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,16384,16384,False,False,False,False,False,False,fn01,fn03
5753383030,5.35826,5750702134,5.35576,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,65536,65536,False,False,False,False,False,False,fn01,fn03
7237933799,6.74085,7238069211,6.74098,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,131072,131072,False,False,False,False,False,False,fn01,fn03
8886808744,8.27649,8888014699,8.27761,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,524288,524288,False,False,False,False,False,False,fn01,fn03
1687954969,1.57203,1687094003,1.57123,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,4096,4096,False,False,False,False,False,False,fn01,fn03
3195941147,2.97645,3195035779,2.97561,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,4096,4096,False,False,False,False,False,False,fn01,fn03
5978811123,5.5682,5977230124,5.56673,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,4096,4096,False,False,False,False,False,False,fn01,fn03
10438826444,9.72191,10439185639,9.72225,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,4096,4096,False,False,False,False,False,False,fn01,fn03
