run,group,ssd_id,ops,idle_ms,interval_ms,do_nops,avg,min,p50,p90,p95,p99,max,latency,kernel,mitigations,node
0,50_25,1,100,50,25,True,5641.10,1130,1790,16100,18340,42670,42670,42670|1410|1610|1590|15360|8370|1550|1540|1330|1130|2180|1300|14920|1310|1900|2050|16270|1370|1740|13620|1580|1890|1690|1840|1790|3900|1680|1280|1730|16500|1750|2000|1830|17490|1290|1980|2590|1640|1470|1910|1320|1900|1750|1720|1830|1610|27500|1380|1410|15310|1750|1760|1700|18340|1310|2230|13230|2050|1640|1660|13490|1940|1670|16670|1630|14820|12530|1850|1350|2820|16060|1770|1560|16100|1650|1500|19550|1740|12360|1810|1950|2990|1460|13430|1660|14980|2010|14770|1400|1640|16040|1360|20740|1580|1780|1690|14140|1580|1330|2260,6.15.0-rc7,True,fn01
1,50_25,1,100,50,25,True,5265.90,1130,2020,16120,17100,34390,34390,34390|1370|1280|2360|1560|1590|2530|17700|1250|2220|2120|17270|2210|2020|3410|1420|2570|1710|1940|16880|2220|10530|1480|2120|3710|1800|1830|16260|1930|1350|2200|14810|1350|15320|11840|1460|2220|20960|1470|12280|2430|2330|1470|17100|1780|1320|2010|14160|1720|1520|1970|16300|1910|15870|2540|1150|10800|1980|3180|1130|16120|1360|2110|14140|1700|1700|3390|1600|1880|1560|2130|2660|2340|15270|1340|1590|14630|1480|3360|1780|1670|16270|1600|12970|1830|1160|2210|1760|12880|1930|1960|14500|1390|2320|3310|1580|1960|1800|1840|1900,6.15.0-rc7,True,fn01
2,50_25,1,100,50,25,True,5331.50,1090,1930,16310,17220,34120,34120,34120|1450|1930|1870|1440|1530|2230|1720|1520|1550|14300|1460|1650|14230|11340|2310|1810|24960|1790|1830|1680|1840|1380|16600|1830|2130|2350|1090|1350|2000|1180|1530|1220|2150|20970|1300|2110|3190|12280|1980|1990|2220|17500|2220|16310|1330|1300|2580|13210|1800|1120|2100|2010|1720|1790|1420|16450|1970|11320|1690|2340|1360|2270|15970|11880|1640|1670|1520|16640|1780|1590|1340|2010|2660|17220|1930|1630|1850|9870|1800|2020|17050|1370|14320|13210|1340|1400|1770|13100|1310|15200|8270|1940|1480|2290|10580|1560|15540|1710|1470,6.15.0-rc7,True,fn01
3,50_25,1,100,50,25,True,3722.70,1190,1710,14870,16470,32570,32570,32570|1430|1600|1600|1350|1960|1290|1880|1720|17180|1310|1530|1710|1320|1810|1580|2580|1680|1650|2330|1560|1410|1720|2280|1870|1620|2510|1630|1670|1430|2000|1400|1520|14870|1700|1820|2040|1930|1550|16470|12310|1610|1580|16060|1360|1600|2100|1340|1580|1890|2140|1580|1660|13830|1520|1720|2260|1400|1470|1830|1850|1880|1580|16820|2220|1770|1850|1310|1220|1420|14840|2230|1640|15820|2820|1710|14940|1440|1570|1940|1900|3430|1280|16190|1400|1630|1310|2210|3430|1530|1840|1450|1490|2650|1190|1600|1840|17520|1900|1690,6.15.0-rc7,True,fn01
4,50_25,1,100,50,25,True,5198.40,1220,2040,15210,16100,22630,22630,22630|1410|12260|2240|13840|1290|15110|8340|1960|14940|1460|2040|16250|1810|1810|1240|16790|1510|1220|14890|2880|1690|2310|1550|16670|1220|2200|3280|1730|16100|2780|2280|1740|1480|3280|1260|15120|2880|1780|14790|1720|13380|1770|1420|2200|2020|2130|15810|1590|1300|2040|11090|1900|1760|12580|1470|15460|11030|1800|15210|1840|1810|1900|15630|2060|1410|2620|3160|1350|1290|2160|1940|1840|2410|1760|1280|2050|1570|2050|1670|15240|1250|2040|2430|10510|1810|14410|1990|2900|2050|1910|1960|1430|2150|9610|1850|13270|10570|1480|1440,6.15.0-rc7,True,fn01
0,50_25,1,100,25,50,True,31231.40,26670,31050,34630,35710,45310,45310,38770|35060|34630|31260|34030|30750|34870|29900|30560|36340|29380|31830|31160|28730|35710|31050|30580|31740|30890|32080|31580|31200|30240|30940|32730|28460|30990|28920|32240|30830|31450|30920|31040|31070|32290|29390|31360|27190|31550|32230|29190|28550|31220|30260|32790|30350|35060|31190|34640|32540|29750|31590|29110|31310|32190|29810|36150|29790|32410|30140|28600|31590|28320|30910|32790|45310|33620|29000|29670|29010|27240|30230|26680|29260|27530|31270|31560|30210|28710|30010|31630|29330|29500|30490|29990|30870|32610|26670|32960|31970|31980|29500|31370|32350|29420|30300|32630|31190|33300|29580,6.15.0-rc7,True,fn01
1,50_25,1,100,25,50,True,30901.30,25790,30780,33160,35400,37400,37400,37400|34360|31720|31630|30780|31110|31140|27090|27370|30870|30000|28800|28830|31780|32010|28970|37170|28460|32830|36580|29340|35640|32080|31360|32990|31040|33990|32150|29620|30100|30960|31960|28780|31780|29440|32790|30060|28800|31120|30420|32720|32450|29090|30140|30760|30250|31110|29540|30100|25790|32450|31600|30430|31470|27910|33430|32400|27420|31640|29510|31500|29240|30140|31280|30360|31120|32000|28450|32730|29510|31640|30300|29120|32440|30500|32170|33160|30720|32630|28870|28520|32610|30730|35400|29780|30220|28470|30820|30530|27770|27990|30400|32730|30360|28500|29960|30210|33390|30780|29550,6.15.0-rc7,True,fn01
2,50_25,1,100,25,50,True,31561.20,25800,31480,35060,36120,37630,37630,36520|37630|29960|32890|33820|33460|33390|29250|31800|33040|28930|35440|29200|33310|32210|28610|34520|28750|30540|28530|33570|32670|29480|30880|32910|31060|31920|25800|35070|30810|31240|32070|29800|31600|31370|31290|35060|30540|33090|30460|31560|33650|29840|32420|28580|30550|31330|29130|35640|32140|31800|28940|28350|35340|31470|29190|28620|30260|33140|30230|34400|31100|31830|31720|29350|33820|31150|31080|32040|27790|29830|32500|31110|30850|27980|34860|33240|27980|31930|29700|36390|29100|31590|33110|29440|36120|32800|31540|31520|31480|36330|31500|27710|31450|30850|32690|30890|31820|30460|30400,6.15.0-rc7,True,fn01
3,50_25,1,100,25,50,True,37471.10,25920,31290,34190,35990,666110,666110,38840|30900|28810|31390|28410|31740|32020|28780|33170|28670|31390|35580|26820|30590|25920|34190|33730|32130|30080|28820|35750|33490|27500|35990|31490|31370|32780|30020|32890|31290|35640|28870|666110|33220|29660|30550|28610|30960|32830|27320|32010|30050|32640|31690|29550|31130|29750|28360|31190|28570|29630|28920|33730|32610|28720|31840|28730|33590|33360|28810|36030|31810|31720|31310|27580|36000|29480|31480|30600|29600|32820|29120|29700|28590|32020|31800|28100|31310|32330|30850|33150|30680|34840|31780|33040|33350|29200|29150|32300|30540|31120|29680|31940|27490|27710|34030|31140|29300|29740|31480,6.15.0-rc7,True,fn01
4,50_25,1,100,25,50,True,31383.20,26880,31390,34510,36350,40790,40790,40790|33240|33210|36830|32060|35760|31310|31780|37810|27440|34640|29280|31480|28980|29530|31430|28770|28370|32730|29100|32090|32410|31410|31690|28640|30910|31020|33450|33600|29740|33590|29350|31730|30700|27810|36660|29900|36350|31610|30330|34510|29210|30300|28440|27830|32820|29380|30850|31610|32430|32840|28630|32080|28830|33990|31090|28740|31500|32230|29890|33680|31030|31610|29110|29990|31390|30900|28390|31790|31450|31300|28190|32060|29420|33010|30410|27790|33040|29470|30660|31190|30820|33760|29000|32100|29460|30930|33530|29060|33760|32450|32360|32510|29270|35820|29380|26880|33450|28620|34550,6.15.0-rc7,True,fn01
0,100_50,1,100,100,50,True,4886.50,1530,2450,16160,16980,37080,37080,37080|4590|17280|2680|11230|2460|2450|15980|1810|16340|1890|2630|2360|2520|2380|15800|1920|2420|2680|16820|2430|2610|2700|2160|2610|2440|1620|2720|2580|2540|2540|2020|2340|2270|2400|2320|1950|1910|2140|15410|2510|16980|2260|2420|2550|1950|2450|2420|2060|2410|2180|1950|2510|1820|1940|2840|15840|2300|1750|15320|2320|2840|2290|2280|2950|2310|16510|2130|2150|2010|2850|2190|17360|2130|1750|2040|2810|2220|4120|2640|2850|16160|2010|2260|2420|2560|2590|13030|1800|2490|1530|2880|2500|2460|16890|2040|2870|2480|2330|17110,6.15.0-rc7,True,fn01
1,100_50,1,100,100,50,True,3929.60,1600,2420,11740,16430,37070,37070,37070|2080|2330|1920|1810|1920|2590|2830|2470|15970|2330|15900|2360|2440|1760|1640|2700|1880|2480|2420|2600|2640|2020|2440|1870|1870|17680|2430|2450|2170|2440|4110|2130|2110|2150|2320|3880|2440|1790|2900|2980|2610|2130|2690|2470|1950|2460|2570|2570|2700|2080|2360|2370|16040|2670|1680|3080|2050|14730|2340|16580|2000|11740|2650|2000|1950|1890|2370|2820|2100|2320|1850|2420|2400|2300|2310|3400|2580|2670|2130|2570|1940|2210|2350|2370|2480|2870|1600|2770|2110|2690|2060|2550|16430|2300|2750|2500|2240|17490|2330,6.15.0-rc7,True,fn01
