iops,cycles,instructions,taskclk,l1_misses,llc_misses,branch_misses,scale,ipc,cpus,ghz,run,mode,posix,libaio,reg_ring,reg_fds,reg_bufs,nvme_cmds,iopoll,core_id,num_ssds,perfevent,write,duration,ssd_size,iodepth,bs,batch_submit,batch_complete,kernel,mitigations,node,ioworker
432864,8528.24,9135.37,2308.52,137.48,10.15,211.40,4327008,1.07,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0
326784,11305.60,11927.09,3060.33,232.31,24.28,267.34,3266848,1.05,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,8192,32,32,6.15.0-rc7,True,fn01,0
272736,13515.04,14752.05,3658.42,262.82,33.16,321.69,2733280,1.09,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,16384,32,32,6.15.0-rc7,True,fn01,0
212768,17350.57,20528.69,4696.63,311.21,45.20,427.67,2128768,1.18,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,32768,32,32,6.15.0-rc7,True,fn01,0
164032,22538.44,29848.36,6101.00,379.82,64.02,593.04,1638496,1.32,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,65536,32,32,6.15.0-rc7,True,fn01,0
119936,30860.80,42767.25,8353.76,490.02,98.96,837.33,1196480,1.39,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,131072,32,32,6.15.0-rc7,True,fn01,0
75968,48800.63,74176.05,13209.97,791.69,221.00,1412.26,756640,1.52,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,262144,32,32,6.15.0-rc7,True,fn01,0
44064,84469.69,135917.77,22865.26,1255.32,403.62,2547.13,437184,1.61,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,524288,32,32,6.15.0-rc7,True,fn01,0
24960,150289.68,243784.52,40694.54,2413.34,698.80,4633.28,245184,1.62,1.00,3.69,0,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,1048576,32,32,6.15.0-rc7,True,fn01,1
432960,8537.06,9144.61,2310.91,134.57,9.69,211.63,4322208,1.07,1.00,3.69,1,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0
341920,10816.18,11412.29,2927.85,199.15,23.68,257.10,3407776,1.06,1.00,3.69,1,defer,False,False,False,False,False,False,False,64,8,True,False,10,1099511627776,512,8192,32,32,6.15.0-rc7,True,fn01,0
