run,datasize,batch,threads,physgb,virtgb,runfor,exmap,kernel,mitigations,node,ssd,ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,0,107683,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,1,110634,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,2,109724,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,3,109941,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,4,110194,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,5,109780,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,6,109750,0,0,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,7,90569,4.47656,74.4844,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,8,85994,5.74219,89.4297,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,9,92980,1.63281,92.2734,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,10,92520,1.38281,90.6016,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,11,93022,1.28125,92.3281,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,12,93384,1.14844,91.6992,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,13,93005,1.04297,92.4414,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,14,93895,0.820312,91.9297,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,15,93333,0.734375,92.1602,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,16,92726,1.08594,92.0117,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,17,93111,1.05469,91.1445,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,18,92576,1.04688,90.6445,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,19,91874,1.23828,89.0156,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,20,91801,0.984375,90.3086,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,21,87719,1.03516,89.5781,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,22,91266,1.14453,89.5078,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,23,91610,1.01562,89.1367,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,24,91027,1.07031,89.6836,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,25,91365,1.28516,89.8828,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,26,90796,1.27344,89.4727,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,27,91011,1.19141,89.1836,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,28,91233,1.21484,88.8398,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,29,89603,1.29688,88.5742,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,30,89772,1.21875,88.6562,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,31,89145,1.98828,88.5508,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,32,87013,3.17969,87.2695,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,33,85183,3.35938,85.7773,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,34,83045,4.16797,84.4805,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,35,78910,6.28125,83.1133,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,36,74589,9.12891,81.6797,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,37,69921,11.3828,78.832,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,38,66616,12.9336,77.3828,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,39,61865,14.3906,77.1289,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,40,63030,15.3555,76.6641,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,41,61396,16.1172,75.8359,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,42,60251,16.8789,75.2969,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,43,59111,17.7773,74.9883,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,44,56581,18.8945,74.0742,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,45,55918,19.3242,73.3242,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,46,54443,19.8477,73.1406,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,47,53004,20.7852,71.5898,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,48,52842,21.0117,71.9883,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,49,51575,21.8281,72.207,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,50,50201,22.4336,70.4141,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,51,48973,23.0586,70.375,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,52,48925,23.0664,70.9414,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,53,46049,23.168,70.5312,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,54,46620,24.4023,69.0664,vmcache,1,1,tpcc,128
0,1,128,1,1,32,200,0,6.17.0+,True,fn01,/dev/nvme8n1,55,45993,24.8047,68.832,vmcache,1,1,tpcc,128
