run,duration,connections,workload,flags,kernel,mitigations,mtu,node,core_id,num_threads,size,pin_queues,bw_avg,bw_min,bw_max,bw_std,bw_samples,perf_cycles,perf_kcycles,perf_instructions,perf_L1-misses,perf_LLC-misses,perf_branch-misses,perf_task-clock,perf_scale,perf_IPC,perf_CPUs,perf_GHz
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,1048576,True,7814765074.962963,4848615424,7944011776,582193566.0449145,27,0.4461,0.4452,0.2734,0.0566,0.0061,0.0052,0.1217,234860052480,0.6129,0.9544,3.6663
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,1048576,True,6271994429.44,2499805184,7960788992,2461408819.447655,25,0.5691,0.5681,0.2761,0.0569,0.0059,0.0052,0.1552,185566494720,0.4851,0.9616,3.6676
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,1048576,True,7821086404.923077,7801405440,7834959872,9289531.625195539,26,0.2165,0.2158,0.2739,0.0023,0.0005,0.0048,0.0603,234243489792,1.2655,0.4720,3.5873
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,1048576,True,7801082801.230769,7776239616,7818182656,10268837.34855535,26,0.1486,0.1479,0.1830,0.0018,0.0003,0.0030,0.0419,233568206848,1.2319,0.3269,3.5460
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,524288,True,6395317452.8,0,7902068736,2756885136.9443307,30,0.4924,0.4907,0.2826,0.0570,0.0062,0.0054,0.1342,215607672832,0.5740,0.9665,3.6680
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,524288,True,6943757653.333333,0,7893680128,2396021720.6563845,30,0.4577,0.4559,0.2802,0.0570,0.0067,0.0053,0.1248,231993769984,0.6121,0.9670,3.6676
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,524288,True,7815924184.615385,7801405440,7826571264,8566651.718412254,26,0.2177,0.2165,0.2756,0.0026,0.0005,0.0049,0.0606,234058940416,1.2656,0.4740,3.5913
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,524288,True,7804954466.461538,7784628224,7818182656,9641448.409953548,26,0.1497,0.1486,0.1849,0.0020,0.0003,0.0030,0.0423,233701376000,1.2349,0.3301,3.5389
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,262144,True,5927148155.586206,0,7767851008,2637101023.7874026,29,0.5536,0.5514,0.3029,0.0578,0.0052,0.0059,0.1508,195249569792,0.5471,0.9836,3.6702
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,262144,True,6980935049.846154,2399141888,7868514304,1730677815.1978614,26,0.5164,0.5137,0.2985,0.0575,0.0048,0.0057,0.1407,207534161920,0.5780,0.9758,3.6691
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,262144,True,7835282510.769231,7818182656,7851737088,10783087.736534597,26,0.2415,0.2391,0.2952,0.0028,0.0005,0.0052,0.0670,234592403456,1.2225,0.5252,3.6038
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,262144,True,7799146968.615385,7784628224,7809794048,6806072.293017594,26,0.1549,0.1535,0.1883,0.0022,0.0004,0.0030,0.0435,233539895296,1.2158,0.3395,3.5583
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,131072,True,5593971150.451612,0,7239368704,2691761354.8195534,31,0.5632,0.5585,0.3320,0.0587,0.0029,0.0065,0.1533,195156377600,0.5895,0.9995,3.6733
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,131072,True,6661359908.571428,5767168,7432306688,1700069555.087147,28,0.5258,0.5220,0.3296,0.0587,0.0029,0.0064,0.1431,208890494976,0.6269,0.9987,3.6729
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,131072,True,7806567660.307693,7784628224,7826571264,11650789.292387541,26,0.2654,0.2621,0.3166,0.0031,0.0005,0.0057,0.0734,233756426240,1.1928,0.5729,3.6172
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,131072,True,7784292679.68,7759462400,7793016832,7680960.559627519,25,0.1792,0.1770,0.2098,0.0025,0.0004,0.0034,0.0501,232958853120,1.1707,0.3897,3.5795
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,65536,True,7465190031.36,7356809216,7516192768,50606046.35914796,25,0.4913,0.4825,0.3509,0.0593,0.0024,0.0069,0.1337,223428608000,0.7142,0.9982,3.6736
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,65536,True,7316802008.615385,7079985152,7373586432,64865639.91900747,26,0.5013,0.4924,0.3456,0.0593,0.0024,0.0068,0.1365,219216478208,0.6893,0.9993,3.6736
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,65536,True,7694612007.384615,7667187712,7709130752,10548856.99562218,26,0.3179,0.3133,0.3618,0.0035,0.0005,0.0065,0.0876,230359564288,1.1380,0.6740,3.6303
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,65536,True,7670091460.923077,7633633280,7692353536,14518744.615384616,26,0.2078,0.2045,0.2356,0.0028,0.0005,0.0039,0.0578,229656035328,1.1339,0.4438,3.5926
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,32768,True,5283942673.066667,0,5905580032,1762300886.0189,30,0.6238,0.6106,0.4325,0.0619,0.0016,0.0090,0.1698,176243408896,0.6934,0.9998,3.6734
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,32768,True,5218232121.806452,0,6039797760,2009877534.4375505,31,0.6110,0.5982,0.4248,0.0618,0.0016,0.0086,0.1663,179892977664,0.6952,0.9997,3.6735
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,32768,True,7284215492.923077,6677331968,7876902912,344545728.6636898,26,0.3960,0.3901,0.4215,0.0041,0.0008,0.0077,0.1088,219105951744,1.0645,0.7964,3.6393
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,32768,True,7627929026.56,7449083904,7692353536,60663963.236058034,25,0.2864,0.2810,0.2987,0.0035,0.0008,0.0052,0.0792,228397711360,1.0430,0.6039,3.6178
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,16384,True,3593038682.83871,0,4152360960,1383154897.720577,31,0.8878,0.8668,0.6220,0.0689,0.0016,0.0133,0.2417,123841282048,0.7006,0.9997,3.6736
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,16384,True,3692003328.0,0,4261412864,1421326096.524474,31,0.8641,0.8446,0.6080,0.0686,0.0017,0.0127,0.2352,127236341760,0.7037,0.9998,3.6736
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,16384,True,6123683840.0,6098518016,6148849664,13959487.510969581,26,0.5993,0.5881,0.5929,0.0071,0.0010,0.0113,0.1631,183429529600,0.9893,0.9993,3.6746
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,16384,True,6928022291.692307,6476005376,7256145920,236492457.19147322,26,0.4935,0.4838,0.4649,0.0051,0.0013,0.0084,0.1348,208522313728,0.9419,0.9391,3.6605
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,8192,True,2418680600.774194,0,2793406464,931420132.523683,31,1.3185,1.2889,0.9858,0.0646,0.0023,0.0215,0.3589,83376095232,0.7476,0.9996,3.6737
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,8192,True,2912782808.6153846,2902458368,2919235584,5843236.631758511,26,1.2608,1.2347,0.9525,0.0635,0.0023,0.0202,0.3432,87214784512,0.7554,0.9998,3.6739
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,8192,True,3175410766.769231,3154116608,3187671040,9079859.807580208,26,1.1567,1.1354,1.0553,0.0113,0.0016,0.0209,0.3148,95071174656,0.9123,0.9996,3.6750
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,8192,True,3643236982.1538463,3615490048,3657433088,11101774.546725526,26,1.0077,0.9883,0.8892,0.0103,0.0016,0.0172,0.2742,109100335104,0.8823,0.9995,3.6750
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,4096,True,1469802429.935484,0,1694498816,565641852.2244992,31,2.1707,2.1267,1.6988,0.0705,0.0033,0.0376,0.5908,50647371776,0.7826,0.9996,3.6742
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,4096,True,1576430426.8387096,0,1820327936,606604393.888857,31,2.0235,1.9785,1.5989,0.0667,0.0029,0.0343,0.5507,54330327040,0.7902,0.9995,3.6741
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,4096,True,1550987660.387097,0,1786773504,596855658.438075,31,2.0568,2.0204,1.8668,0.0187,0.0022,0.0374,0.5596,53466103808,0.9076,0.9995,3.6753
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,4096,True,2073922008.6153846,2063597568,2080374784,4828814.936607843,26,1.7707,1.7335,1.5716,0.0177,0.0023,0.0312,0.4818,62106419200,0.8875,0.9996,3.6751
